Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
30.01.13;16:51;Bern - Bachmätteli;34450;5074;BIR.KAISER ALEX.     LOSE;0.154;0.00;0.60
30.01.13;16:51;Bern - Bachmätteli;34450;5074;Jura Filterpatrone claris;1.000;0.00;15.90
30.01.13;16:51;Bern - Bachmätteli;34450;5074;YOGOS GRECQUE NATURE 180G;1.000;0.00;0.85
30.01.13;16:51;Bern - Bachmätteli;34450;5074;TS BO BUTTERZOEPFLI   80G;1.000;0.00;1.40
29.01.13;13:04;Bern - Christoffel;33115;1696;Sandwich 9;1.000;0.00;7.40
29.01.13;17:48;Bern - Marktgasse;34710;14;APF.GALA I        FT H.;0.853;0.00;2.90
29.01.13;17:48;Bern - Marktgasse;34710;14;CHICOREE          BT 500G;1.000;0.50;1.90
29.01.13;17:48;Bern - Marktgasse;34710;14;SE AB BAS.-GNOCCHI 2X500G;1.000;0.00;7.80
29.01.13;17:48;Bern - Marktgasse;34710;14;M-BUD STUDENTENFUTTER 200;1.000;0.00;1.60
29.01.13;17:48;Bern - Marktgasse;34710;14;ZUCCHETTI         LOSE;0.656;0.00;2.95
29.01.13;17:48;Bern - Marktgasse;34710;14;AUBERGINEN        LOSE;0.282;0.00;1.55
29.01.13;17:48;Bern - Marktgasse;34710;14;TS KART.FESTK.    AB 1KG;1.000;0.55;1.25
29.01.13;17:48;Bern - Marktgasse;34710;14;TOM.CHERRY ZWEIG  AB 500G;1.000;0.00;3.20
29.01.13;17:48;Bern - Marktgasse;34710;14;BATAVIA GRUEN     BT S.;1.000;0.00;2.20
29.01.13;17:48;Bern - Marktgasse;34710;14;MANGO             ST S.;1.000;0.00;2.10
29.01.13;17:48;Bern - Marktgasse;34710;14;BIO M-DRINK PAST FLASC 1L;1.000;0.00;1.75
29.01.13;17:48;Bern - Marktgasse;34710;14;KUCHENTEIG VOLLKORN  270G;1.000;0.00;2.40
29.01.13;17:48;Bern - Marktgasse;34710;14;BOHNEN TP         AB 500G;1.000;0.00;2.50
29.01.13;17:48;Bern - Marktgasse;34710;14;GURKEN TP         ST S.;1.000;0.00;1.30
29.01.13;17:48;Bern - Marktgasse;34710;14;SE CO VEGI PLAETZLI2X180G;1.000;0.00;5.40
29.01.13;17:48;Bern - Marktgasse;34710;14;PFAELZER RUEBEN   FT H.;0.580;0.00;2.55
29.01.13;17:48;Bern - Marktgasse;34710;14;M-CLAS ERB.KAROT.FEIN 260;1.000;0.00;1.50
29.01.13;17:48;Bern - Marktgasse;34710;14;GOJI BEEREN 100G BTL;1.000;0.00;6.50
29.01.13;17:48;Bern - Marktgasse;34710;14;LAUCH GRUEN       LOSE;0.606;0.00;2.30
29.01.13;17:48;Bern - Marktgasse;34710;14;BIO GEMUESEBOUILLON 180G;1.000;0.00;3.80
29.01.13;17:48;Bern - Marktgasse;34710;14;CENTERBROT           500G;1.000;0.00;3.20
29.01.13;17:48;Bern - Marktgasse;34710;14;M-CLAS MAISKOERNER O.SALZ;1.000;0.00;0.90
29.01.13;17:48;Bern - Marktgasse;34710;14;SE BIO REDDY NATURE 2X700;1.000;0.00;8.80
29.01.13;17:48;Bern - Marktgasse;34710;14;TORTILLAS VOLLKORN 350G;1.000;0.00;5.60
29.01.13;17:48;Bern - Marktgasse;34710;14;PEPERONI GEMISCHT AB 500G;1.000;0.85;1.65
29.01.13;17:48;Bern - Marktgasse;34710;14;BIFIDUS JOGH. NATURE 500G;1.000;0.35;1.35
29.01.13;17:48;Bern - Marktgasse;34710;14;M-CLAS POLENTA FEIN 500G;1.000;0.00;1.20
29.01.13;17:48;Bern - Marktgasse;34710;14;KUERB.BUTTERNUSS  AB H.;0.974;0.00;3.70
29.01.13;17:48;Bern - Marktgasse;34710;14;M-CLAS FRUCHTCOCKTAIL 150;1.000;0.00;1.00
29.01.13;17:48;Bern - Marktgasse;34710;14;DIE BUTTER SCHALE 250G;1.000;0.00;3.50
29.01.13;17:48;Bern - Marktgasse;34710;14;BIO MILCH PAST FLASCHE 1L;1.000;0.00;1.80
