Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
31.03.12;14:58;Bern - Eigerplatz;33640;2648;BIFIDUS JOGH. MANGO 150G;2.000;0.00;1.70
31.03.12;14:58;Bern - Eigerplatz;33640;2648;ZUCCHETTI         LOSE;0.233;0.00;0.70
31.03.12;14:58;Bern - Eigerplatz;33640;2648;PC BO HOLZOFENBROT HELL;1.000;0.50;3.30
31.03.12;14:58;Bern - Eigerplatz;33640;2648;M-CLAS PENNE 500G;1.000;0.00;1.80
31.03.12;14:58;Bern - Eigerplatz;33640;2648;GRANA PADANO 250G;0.185;0.85;3.05
31.03.12;14:58;Bern - Eigerplatz;33640;2648;TOM.S.MARZANO     LOSE;0.568;0.00;2.50
31.03.12;14:58;Bern - Eigerplatz;33640;2648;PEPERONI GELB     LOSE;0.269;0.00;1.45
31.03.12;14:58;Bern - Eigerplatz;33640;2648;TS ADR M-DRINK PAST 1L;4.000;0.00;5.60
29.03.12;13:42;Bern - Zähringer;34360;7147;M-BUD NOIR 100G;1.000;0.00;0.60
29.03.12;13:42;Bern - Zähringer;34360;7147;BIO VOLLWERTGUETZLI   55G;1.000;0.00;1.50
28.03.12;19:19;Bern - Bahnhof;34530;1450;M-CLAS CRUNCHY CHOCO 500G;1.000;0.00;3.70
28.03.12;19:19;Bern - Bahnhof;34530;1450;PAP K-STOFFSCHNUR 100M BE;1.000;0.00;1.55
28.03.12;19:19;Bern - Bahnhof;34530;1450;OSRAM HALOGEN ECO SST CLA;1.000;0.00;3.90
28.03.12;19:19;Bern - Bahnhof;34530;1450;M-BUD CEREAL FLAKES FRUIT;1.000;0.00;3.20
28.03.12;19:19;Bern - Bahnhof;34530;1450;SE NUTELLA 880G;1.000;0.00;6.20
28.03.12;19:19;Bern - Bahnhof;34530;1450;PONTI BALSA.DI MODENA50CL;1.000;0.00;4.40
28.03.12;19:19;Bern - Bahnhof;34530;1450;RISPENTOMATEN     LOSE;0.521;0.00;2.50
28.03.12;19:19;Bern - Bahnhof;34530;1450;M-CLAS KICHERERBSEN 250G;1.000;0.00;1.40
28.03.12;19:19;Bern - Bahnhof;34530;1450;OSRAM HALOGEN ECO SST CLA;1.000;0.00;3.50
22.03.12;18:23;Brugg - Neumarkt;34843;1098;MB MISCHSALAT        500G;1.000;0.00;3.90
22.03.12;18:23;Brugg - Neumarkt;34843;1098;LEG REBLOCHON 150G;1.000;0.00;3.35
22.03.12;18:23;Brugg - Neumarkt;34843;1098;LEG JOGHURT DRINK HIMBEER;2.000;0.00;3.30
22.03.12;18:23;Brugg - Neumarkt;34843;1098;TS ADR M-DRINK PAST 1L;2.000;0.00;2.80
22.03.12;18:23;Brugg - Neumarkt;34843;1098;LEG JOGHURT DRINK MANGO;2.000;0.00;3.30
22.03.12;18:23;Brugg - Neumarkt;34843;1098;LEG JOGHURT DRINK BANANE;1.000;0.00;1.65
21.03.12;13:04;Bern - Zähringer;34360;7134;M-BUD M. CO2 1.5L;1.000;0.00;0.25
21.03.12;13:04;Bern - Zähringer;34360;7134;OSTERCHUECHLI      2/150G;1.000;0.00;2.60
21.03.12;12:44;Bern - Zähringer;35520;2613;Migusto Buffet 100g;0.472;0.00;13.70
17.03.12;19:10;Bern - Bahnhof;34530;7136;3-KORN BUTTERZOPF    500G;1.000;0.00;3.70
17.03.12;19:10;Bern - Bahnhof;34530;7136;EMMENTALER MILD      150G;0.141;0.00;1.90
