Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
28.12.11;18:25;Bern - Marktgasse;34710;9923;ZWIEBEL-CHAESWAEHE   200G;1.000;0.00;3.20
28.12.11;18:25;Bern - Marktgasse;34710;9923;M-CLAS ORANGENSAFT 1L BRI;2.000;0.00;2.30
28.12.11;18:25;Bern - Marktgasse;34710;9923;BIO FARMER C NATURE 500G;2.000;0.00;9.80
28.12.11;18:25;Bern - Marktgasse;34710;9923;ADR SEELAENDER BROT  500G;1.000;0.00;2.80
28.12.11;18:25;Bern - Marktgasse;34710;9923;LEG JOGHURT DRINK HIMBEER;1.000;0.00;1.65
28.12.11;18:25;Bern - Marktgasse;34710;9923;TS ADR M-DRINK PAST 1L;4.000;0.00;5.40
28.12.11;18:25;Bern - Marktgasse;34710;9923;LEG JOGHURT DRINK MANGO;2.000;0.00;3.30
28.12.11;18:25;Bern - Marktgasse;34710;9923;M-CLAS MULTIVITAM. 1L BRI;2.000;0.00;2.70
28.12.11;18:25;Bern - Marktgasse;34710;9923;LEG JOGHURT DRINK BANANE;1.000;0.00;1.65
24.12.11;14:04;Bern - Eigerplatz;33640;340;BLONDORANGEN      LOSE;0.273;0.00;0.60
24.12.11;14:04;Bern - Eigerplatz;33640;340;M-CLAS JOGH MOKKA 180G;1.000;0.00;0.55
24.12.11;14:04;Bern - Eigerplatz;33640;340;CONDY KAPERN 125G GL;1.000;0.00;2.30
24.12.11;14:04;Bern - Eigerplatz;33640;340;M-CLAS JOGH VANILLE 180G;1.000;0.00;0.55
24.12.11;14:04;Bern - Eigerplatz;33640;340;VALFLORA VOLLR. UHT 2.5DL;1.000;0.00;1.60
24.12.11;14:04;Bern - Eigerplatz;33640;340;BO TS BUTTERZOPF     300G;1.000;0.00;2.25
24.12.11;14:04;Bern - Eigerplatz;33640;340;PAPRIKA EDELSUESS 37G GL;1.000;0.00;1.00
24.12.11;14:04;Bern - Eigerplatz;33640;340;TS ADR M-DRINK PAST 1L;2.000;0.00;2.70
24.12.11;14:04;Bern - Eigerplatz;33640;340;ZITRONENSAFT 200ML;1.000;0.00;1.10
24.12.11;14:04;Bern - Eigerplatz;33640;340;VALFLORA RAHM UHT 1/2L;1.000;0.00;3.20
23.12.11;15:24;Bern - Marktgasse;34710;3093;KOCHBUTTER 250G;1.000;0.00;2.85
23.12.11;15:24;Bern - Marktgasse;34710;3093;PFEFFERM.FRISCH   AB S.;1.000;0.00;1.70
23.12.11;15:24;Bern - Marktgasse;34710;3093;BIO MAX HAV DATTELN 200G;1.000;0.00;2.30
23.12.11;15:24;Bern - Marktgasse;34710;3093;OLIVENPASTE SCHWARZ 190G;1.000;0.00;3.20
23.12.11;15:24;Bern - Marktgasse;34710;3093;BLONDORANGEN      LOSE;0.545;0.00;1.20
23.12.11;15:24;Bern - Marktgasse;34710;3093;AUBERGINEN        LOSE;1.064;0.00;4.15
23.12.11;15:24;Bern - Marktgasse;34710;3093;GEISSKAESE SPITZBERG 120;1.000;0.00;3.50
23.12.11;15:24;Bern - Marktgasse;34710;3093;M-CLAS MEERRETTICHMOUSSE;1.000;0.50;1.95
23.12.11;15:24;Bern - Marktgasse;34710;3093;M-CLAS TOMATENPUREE TB;1.000;0.00;0.85
23.12.11;15:24;Bern - Marktgasse;34710;3093;MANGO             ST S.;1.000;0.60;1.80
23.12.11;15:24;Bern - Marktgasse;34710;3093;PETIT CHEVRIER NATURE 80G;2.000;0.00;5.70
23.12.11;15:24;Bern - Marktgasse;34710;3093;AEPF.BOSKOOP I       LOSE;0.734;0.00;2.35
23.12.11;15:24;Bern - Marktgasse;34710;3093;CHAMPIGNONS BRAUN LOSE;0.113;0.00;1.35
23.12.11;15:24;Bern - Marktgasse;34710;3093;BIO PINIENKERNE 100G BTL;1.000;0.00;5.30
23.12.11;15:24;Bern - Marktgasse;34710;3093;KREUZKUEMMEL 30G GL;1.000;0.00;2.55
23.12.11;15:24;Bern - Marktgasse;34710;3093;SQ WALNUSSKERNE 100G BTL;1.000;0.00;2.40
23.12.11;15:24;Bern - Marktgasse;34710;3093;PIMIENT.DE PADRON LOSE;0.017;0.00;0.25
23.12.11;15:24;Bern - Marktgasse;34710;3093;HB STEINOFENBAGUETTE 260G;2.000;0.00;5.20
23.12.11;15:24;Bern - Marktgasse;34710;3093;ZWIEBELN          LOSE;0.611;0.00;1.10
23.12.11;15:24;Bern - Marktgasse;34710;3093;EIERSCHWAEMME     LOSE;0.058;0.00;4.05
23.12.11;15:24;Bern - Marktgasse;34710;3093;MB FRISCHKAESE NATUR 300G;1.000;0.00;2.20
23.12.11;15:24;Bern - Marktgasse;34710;3093;ZITRONEN           ST S.;2.000;0.00;1.10
23.12.11;15:24;Bern - Marktgasse;34710;3093;INGWER            LOSE;0.079;0.00;0.55
23.12.11;15:24;Bern - Marktgasse;34710;3093;M-CLAS SULTANINEN 300G;1.000;0.00;1.45
23.12.11;15:24;Bern - Marktgasse;34710;3093;KNOLLENSELLERIE   AB H.;0.658;0.00;2.50
23.12.11;15:24;Bern - Marktgasse;34710;3093;PASSIONSFRUCHT    LOSE;0.338;0.00;5.40
23.12.11;15:24;Bern - Marktgasse;34710;3093;KORIANDER         AB S.;1.000;0.00;1.70
23.12.11;15:24;Bern - Marktgasse;34710;3093;VALFLORA SAUER-HR 180ML;4.000;0.00;4.80
23.12.11;15:24;Bern - Marktgasse;34710;3093;VALFLORA RAHM UHT 1/2L;1.000;0.00;3.20
23.12.11;15:24;Bern - Marktgasse;34710;3093;MB BRIE              200G;2.000;0.00;3.80
23.12.11;17:51;Bern - Marktgasse;34710;3154;POTZ GLASREINIGER POWER P;1.000;0.70;2.80
23.12.11;17:51;Bern - Marktgasse;34710;3154;HUUSBROT             300G;1.000;0.00;1.80
23.12.11;17:51;Bern - Marktgasse;34710;3154;TOM.CHERRY ZWEIG  AB 500G;1.000;0.00;2.50
23.12.11;17:51;Bern - Marktgasse;34710;3154;POTZ GLASREINIGER POWER P;1.000;0.70;3.20
23.12.11;17:51;Bern - Marktgasse;34710;3154;MCLASS WC-REINIGER;1.000;0.00;2.65
23.12.11;17:51;Bern - Marktgasse;34710;3154;RANDEN ROH        AB H.;1.446;0.00;4.05
23.12.11;17:51;Bern - Marktgasse;34710;3154;ZWIEBELN          LOSE;0.333;0.00;0.60
23.12.11;17:51;Bern - Marktgasse;34710;3154;TOMATEN           LOSE;0.657;0.00;2.30
23.12.11;17:51;Bern - Marktgasse;34710;3154;POTZ FRESH POWER FLASCHE;1.000;0.70;3.20
22.12.11;11:11;Bern - Eigerplatz;33640;1315;BLAETTERTEIG AUSGEW. 640G;1.000;0.00;2.60
22.12.11;11:11;Bern - Eigerplatz;33640;1315;SCHWA.OLIV.SPA.ENTST.150G;1.000;0.00;2.40
