Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
24.03.2011;12:42;Ittigen;34510;1347;SE TRIO TOMME-2CREME-1NAT;1;0;4.20
24.03.2011;12:42;Ittigen;34510;1347;BO WURSTWEGGEN        85G;1;0;1.80
24.03.2011;12:42;Ittigen;34510;1347;HEI BUENDNERRAHMKAESE;0.237;1.2;4.50
24.03.2011;12:42;Ittigen;34510;1347;SE BRATSCHINKEN SCHALE;0.266;0;5.85
24.03.2011;12:42;Ittigen;34510;1347;ADR BERNERKAESE;0.275;1.1;4.40
24.03.2011;12:42;Ittigen;34510;1347;KASTANINEN GLASIERT 250G;2;0;10.40
28.03.2011;16:23;Bern - Marktgasse;34710;1466;KOCHBUTTER 250G;2;0;5.70
28.03.2011;16:23;Bern - Marktgasse;34710;1466;BANANEN  I        LOSE;0.875;0;2.45
28.03.2011;16:23;Bern - Marktgasse;34710;1466;EXC JOGHURT CARAMEL 150G;2;0;1.90
28.03.2011;16:23;Bern - Marktgasse;34710;1466;KLEENEX BALSAM TRIO;2;0;10.40
28.03.2011;16:23;Bern - Marktgasse;34710;1466;SE AB FETTUCCINE 3X250G;1;0;5.25
28.03.2011;16:23;Bern - Marktgasse;34710;1466;NIVEA BABY NASEN FREI;4;0;29.60
28.03.2011;16:23;Bern - Marktgasse;34710;1466;EXC JOGHURT MANDARINE;2;0;1.90
28.03.2011;16:23;Bern - Marktgasse;34710;1466;SE AB DC PIZ.MARGH.2X375G;1;0;7.50
28.03.2011;16:23;Bern - Marktgasse;34710;1466;BIO MILCH PAST FLASCHE 1L;1;0;1.70
05.04.2011;09:32;Bern - Marktgasse;34710;9928;APF.TOPAZ I       LOSE;2.34;1.4;5.85
05.04.2011;09:32;Bern - Marktgasse;34710;9928;XL KUCHENTEIG ECKIG 520G;1;0;3.30
05.04.2011;09:32;Bern - Marktgasse;34710;9928;SCHLOSSBERGMUTSCHLI   1/1;0.181;0;4.70
05.04.2011;09:32;Bern - Marktgasse;34710;9928;ADR AARGAUER TRAUM 1/1;0.393;0;10.00
05.04.2011;09:32;Bern - Marktgasse;34710;9928;SUSHI DES MONATS;1;0;14.90
05.04.2011;09:32;Bern - Marktgasse;34710;9928;MILETTE REINIGUNGS-WATTEP;2;0;6.40
05.04.2011;09:32;Bern - Marktgasse;34710;9928;GRANDE CAFFE MACCHIATO;1;0;1.40
05.04.2011;09:32;Bern - Marktgasse;34710;9928;VANILLEZUCKER 4X10G BTL;2;0;5.40
05.04.2011;09:32;Bern - Marktgasse;34710;9928;BERNERKAESE           1/1;0.151;0;3.55
08.04.2011;11:24;Bern - Marktgasse;34710;8863;BEEF CHIPS;0.36;6.5;14.75
08.04.2011;11:24;Bern - Marktgasse;34710;8863;BIO MH BANANEN    AB H.;0.453;0;1.45
08.04.2011;11:24;Bern - Marktgasse;34710;8863;M-CLAS ICE COFFEE 250ML;1;0;0.55
08.04.2011;11:24;Bern - Marktgasse;34710;8863;M-CLAS JOGH APF/MANG 180G;2;0;1.20
08.04.2011;11:24;Bern - Marktgasse;34710;8863;SE KIWIS          AB S.;1;0.95;2.00
08.04.2011;11:24;Bern - Marktgasse;34710;8863;JAN MOLTON;1;0;29.90
08.04.2011;11:24;Bern - Marktgasse;34710;8863;SUSHI NIGIRI CLASSIC;1;0;12.00
08.04.2011;11:24;Bern - Marktgasse;34710;8863;ORAL B STAGE 1 KIDS 4-24;1;0;4.40
08.04.2011;11:24;Bern - Marktgasse;34710;8863;NINO MOLTON_Mol,weiss;1;0;39.90
08.04.2011;11:24;Bern - Marktgasse;34710;8863;M-CLAS JOGH RHAB/VAN 180G;2;0;1.20
08.04.2011;11:24;Bern - Marktgasse;34710;8863;SAISONJOGH. HOLUNDERBLUTE;2;0;1.20
08.04.2011;11:27;Bern - Marktgasse;35401;6465;Menü 1 TA;1;0;9.80
11.04.2011;11:17;Bern - Marktgasse;34710;279;BEEF JERKY NATURE;0.048;0;4.25
11.04.2011;11:17;Bern - Marktgasse;34710;279;KOCHBUTTER 250G;1;0;2.95
