Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
21.07.12;8:24;Zürich - Hauptbahnhof;150184;7370;BUTTERMILCH ERDBEER 500ML;1.000;0.00;1.05
21.07.12;8:24;Zürich - Hauptbahnhof;150184;7370;M-BUD ENERGY DRINK 25CL;1.000;0.00;0.65
21.07.12;8:24;Zürich - Hauptbahnhof;150184;7370;TOM.S.MARZANO     AB H.;0.794;1.20;2.70
21.07.12;8:24;Zürich - Hauptbahnhof;150184;7370;M-CLAS AUFSCHNITT    MIDI;0.152;0.00;2.50
21.07.12;8:24;Zürich - Hauptbahnhof;150184;7370;TS KRUSTENKRANZ      300G;1.000;0.30;1.70
21.07.12;8:24;Zürich - Hauptbahnhof;150184;7370;BIO ICE TEA ALPENKR.1L;1.000;0.00;1.45
21.07.12;8:24;Zürich - Hauptbahnhof;150184;7370;BIO JOGHURT BIRCHER. 500G;1.000;0.00;1.90
11.07.12;8:26;Rapperswil - Zentrum;150188;3482;BUTTERMILCH ERDBEER 500ML;1.000;0.00;1.05
11.07.12;8:26;Rapperswil - Zentrum;150188;3482;AB SMOOTHIE R.BEEREN 25CL;1.000;0.00;1.90
06.07.12;16:11;Rapperswil - Zentrum;150188;5017;EISBERGSALAT TP    BT S.;1.000;0.00;1.40
06.07.12;16:11;Rapperswil - Zentrum;150188;5017;SE AUFSCHNITT DELI;0.212;0.00;2.75
06.07.12;16:11;Rapperswil - Zentrum;150188;5017;M-BUD ENERGY DRINK 25CL;1.000;0.00;0.65
06.07.12;16:11;Rapperswil - Zentrum;150188;5017;BO ZWETSCHGENTASCHE  110G;1.000;0.00;1.80
06.07.12;16:11;Rapperswil - Zentrum;150188;5017;NEKTARINEN GELBF. LOSE;0.304;0.50;0.70
06.07.12;16:11;Rapperswil - Zentrum;150188;5017;TS KRUSTENKRANZ      300G;1.000;0.00;2.00
06.07.12;16:11;Rapperswil - Zentrum;150188;5017;BIO ICE TEA ALPENKR.1L;1.000;0.00;1.45
06.07.12;16:11;Rapperswil - Zentrum;150188;5017;RHABARBERWAEHE       215G;1.000;1.45;1.45
01.06.12;20:26;Zürich - Hauptbahnhof;150184;8516;M-BUD ENERGY DRINK 25CL;1.000;0.00;0.65
01.06.12;20:26;Zürich - Hauptbahnhof;150184;8516;KIRSCHENWAEHE        215G;1.000;0.00;2.90
01.06.12;20:26;Zürich - Hauptbahnhof;150184;8516;TS BUTTERWEGGLI GROSS 95G;1.000;0.00;0.95
01.06.12;20:26;Zürich - Hauptbahnhof;150184;8516;BIFIDUS JOG.DRINK MANGO;1.000;0.40;1.55
01.06.12;20:26;Zürich - Hauptbahnhof;150184;8516;BIO ICE TEA ALPENKR.1L;1.000;0.00;1.45
01.06.12;20:26;Zürich - Hauptbahnhof;150184;8516;BIO JOGHURT HEIDELB. 500G;1.000;0.00;1.90
