Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
30.03.12;13:08;Rapperswil - Zentrum;150188;441;BO PIZZETTA CAPRICCIO 90G;1.000;0.00;2.20
26.03.12;7:54;Rapperswil - Zentrum;150188;4535;KAMILLENTEE 50BTL;1.000;0.00;1.15
26.03.12;7:54;Rapperswil - Zentrum;150188;4535;BO ZWETSCHGENTASCHE  110G;1.000;0.00;1.80
26.03.12;7:54;Rapperswil - Zentrum;150188;4535;KLOSTER ISIDORUS30G 20BTL;1.000;0.00;2.40
26.03.12;7:54;Rapperswil - Zentrum;150188;4535;M-BUD ENERGY DRINK 355ML;1.000;0.00;0.90
23.03.12;7:38;Rapperswil - Zentrum;150188;1335;M-CLAS TULPEN 20ER HARLEK;1.000;2.70;11.80
23.03.12;13:59;Rapperswil - Zentrum;150188;2055;M-BUD ENERGY DRINK 25CL;1.000;0.00;0.65
23.03.12;13:59;Rapperswil - Zentrum;150188;2055;BO ZWETSCHGENTASCHE  110G;1.000;0.00;1.80
20.03.12;19:38;Zürich - Hauptbahnhof;150184;1734;EXQUISITO BOHNEN 500G;6.000;23.10;23.10
19.03.12;7:30;Basel - Bahnhof SBB;25340;1085;Branchligipfel 75g;1.000;0.00;2.30
16.03.12;13:08;Rapperswil - Zentrum;150188;3551;SE M-CLAS GIANOVA EILI 1K;2.000;0.00;19.00
16.03.12;13:08;Rapperswil - Zentrum;150188;3551;BO PIZZETTA CAPRICCIO 90G;1.000;0.00;2.20
28.02.12;18:41;Basel - Bahnhof SBB;23900;335;TROCKENFRUECHTE   LOSE;0.234;0.00;5.15
28.02.12;18:41;Basel - Bahnhof SBB;23900;335;TS KRUSTENKRANZ      300G;1.000;0.00;2.30
28.02.12;18:44;Basel - Bahnhof SBB;25340;6252;Jubi Extrastand;0.174;1.20;3.15
15.02.12;15:13;Basel - Bahnhof SBB;23900;2592;M-BUD ENERGY DRINK 25CL;2.000;0.00;1.30
15.02.12;15:13;Basel - Bahnhof SBB;23900;2592;RIVELLA GRUEN 1.5L;1.000;0.00;2.40
15.02.12;15:13;Basel - Bahnhof SBB;23900;2592;APROZ MEDIUM 1.5L;1.000;0.00;0.95
